"LOCATION","Country","SUBJECT","Subject","SEX","Sex","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BRA","Brazil","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2003","2003","PER","Persons","0","Units",,,178741400,,
"BRA","Brazil","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2004","2004","PER","Persons","0","Units",,,181105600,,
"BRA","Brazil","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2005","2005","PER","Persons","0","Units",,,183383200,,
"BRA","Brazil","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2006","2006","PER","Persons","0","Units",,,185564200,,
"BRA","Brazil","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2007","2007","PER","Persons","0","Units",,,187641700,,
"BRA","Brazil","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2008","2008","PER","Persons","0","Units",,,189612800,,
"BRA","Brazil","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2009","2009","PER","Persons","0","Units",,,191480600,,
"BRA","Brazil","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2010","2010","PER","Persons","0","Units",,,193252600,,
"BRA","Brazil","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2011","2011","PER","Persons","0","Units",,,194932700,,
"BRA","Brazil","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2012","2012","PER","Persons","0","Units",,,196526300,,
"KOR","Korea","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2000","2000","PER","Persons","0","Units",,,47008110,,
"KOR","Korea","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2001","2001","PER","Persons","0","Units",,,47357360,,
"KOR","Korea","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2002","2002","PER","Persons","0","Units",,,47622180,,
"KOR","Korea","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2003","2003","PER","Persons","0","Units",,,47859310,,
